isfrom,goesto,count
"Denmark","Latvia",0
"Estonia","Latvia",2
"Finland","Latvia",0
"France","Latvia",0
"Germany","Latvia",0
"Greece","Latvia",0
"Hungary","Latvia",0
"Ireland","Latvia",0
"Italy","Latvia",1
"Latvia","Latvia",0
"Lithuania","Latvia",6
"Luxembourg","Latvia",0
"Malta","Latvia",0
"Netherlands","Latvia",1
"Poland","Latvia",0
"Portugal","Latvia",0
"Romania","Latvia",1
"Slovakia","Latvia",0
"Slovenia","Latvia",0
"Spain","Latvia",0
"Sweden","Latvia",0
"UK","Latvia",0
"Austria","Lithuania",0
"Belgium","Lithuania",1
"Bulgaria","Lithuania",0
"Croatia","Lithuania",0
"Cyprus","Lithuania",0
"Czech","Lithuania",0
"Denmark","Lithuania",0
"Estonia","Lithuania",0
"Finland","Lithuania",0
"France","Lithuania",0
"Germany","Lithuania",2
"Greece","Lithuania",0
"Hungary","Lithuania",0
"Ireland","Lithuania",0
"Italy","Lithuania",1
"Latvia","Lithuania",23
"Lithuania","Lithuania",0
"Luxembourg","Lithuania",0
"Malta","Lithuania",0
"Netherlands","Lithuania",2
"Poland","Lithuania",1
"Portugal","Lithuania",0
"Romania","Lithuania",4
"Slovakia","Lithuania",0
"Slovenia","Lithuania",0
"Spain","Lithuania",0
"Sweden","Lithuania",0
"UK","Lithuania",0
"Austria","Luxembourg",2
"Belgium","Luxembourg",8
"Bulgaria","Luxembourg",0
"Croatia","Luxembourg",5
"Cyprus","Luxembourg",0
"Czech","Luxembourg",0
"Denmark","Luxembourg",0
"Estonia","Luxembourg",1
"Finland","Luxembourg",0
"France","Luxembourg",49
"Germany","Luxembourg",5
"Greece","Luxembourg",0
"Hungary","Luxembourg",4
"Ireland","Luxembourg",0
"Italy","Luxembourg",0
"Latvia","Luxembourg",2
"Lithuania","Luxembourg",10
"Luxembourg","Luxembourg",0
"Malta","Luxembourg",0
"Netherlands","Luxembourg",5
"Poland","Luxembourg",10
"Portugal","Luxembourg",97
"Romania","Luxembourg",52
"Slovakia","Luxembourg",0
"Slovenia","Luxembourg",1
"Spain","Luxembourg",0
"Sweden","Luxembourg",0
"UK","Luxembourg",6
"Austria","Malta",0
"Belgium","Malta",0
"Bulgaria","Malta",0
"Croatia","Malta",0
"Cyprus","Malta",0
"Czech","Malta",0
"Denmark","Malta",0
"Estonia","Malta",0
"Finland","Malta",0
"France","Malta",0
"Germany","Malta",0
"Greece","Malta",0
"Hungary","Malta",0
"Ireland","Malta",0
"Italy","Malta",0
"Latvia","Malta",0
"Lithuania","Malta",0
"Luxembourg","Malta",0
"Malta","Malta",0
"Netherlands","Malta",0
"Poland","Malta",0
"Portugal","Malta",0
"Romania","Malta",0
"Slovakia","Malta",0
"Slovenia","Malta",0
"Spain","Malta",0
"Sweden","Malta",0
"UK","Malta",0
"Austria","Netherlands",1
"Belgium","Netherlands",29
"Bulgaria","Netherlands",30
"Croatia","Netherlands",5
"Cyprus","Netherlands",0
"Czech","Netherlands",3
"Denmark","Netherlands",0
"Estonia","Netherlands",1
"Finland","Netherlands",0
"France","Netherlands",38
"Germany","Netherlands",34
"Greece","Netherlands",2
"Hungary","Netherlands",41
"Ireland","Netherlands",7
"Italy","Netherlands",19
"Latvia","Netherlands",12
"Lithuania","Netherlands",38
"Luxembourg","Netherlands",0
"Malta","Netherlands",0
"Netherlands","Netherlands",0
"Poland","Netherlands",206
"Portugal","Netherlands",15
"Romania","Netherlands",153
"Slovakia","Netherlands",2
"Slovenia","Netherlands",2
"Spain","Netherlands",27
"Sweden","Netherlands",2
"UK","Netherlands",30
"Austria","Poland",1
"Belgium","Poland",1
"Bulgaria","Poland",38
"Croatia","Poland",3
"Cyprus","Poland",0
"Czech","Poland",6
"Denmark","Poland",0
"Estonia","Poland",4
"Finland","Poland",0
"France","Poland",4
"Germany","Poland",27
"Greece","Poland",2
"Hungary","Poland",1
"Ireland","Poland",0
"Italy","Poland",2
"Latvia","Poland",21
"Lithuania","Poland",25
"Luxembourg","Poland",0
"Malta","Poland",0
"Netherlands","Poland",2
"Poland","Poland",0
"Portugal","Poland",2
"Romania","Poland",51
"Slovakia","Poland",12
"Slovenia","Poland",1
"Spain","Poland",1
"Sweden","Poland",1
"UK","Poland",0
"Austria","Portugal",0
"Belgium","Portugal",0
"Bulgaria","Portugal",15
"Croatia","Portugal",0
"Cyprus","Portugal",0
"Czech","Portugal",0
"Denmark","Portugal",0
"Estonia","Portugal",0
"Finland","Portugal",0
"France","Portugal",39
"Germany","Portugal",9
"Greece","Portugal",0
"Hungary","Portugal",0
"Ireland","Portugal",0
"Italy","Portugal",26
"Latvia","Portugal",0
"Lithuania","Portugal",0
"Luxembourg","Portugal",0
"Malta","Portugal",0
"Netherlands","Portugal",20
"Poland","Portugal",0
"Portugal","Portugal",0
"Romania","Portugal",208
"Slovakia","Portugal",0
"Slovenia","Portugal",0
"Spain","Portugal",152
"Sweden","Portugal",0
"UK","Portugal",26
"Austria","Romania",4
"Belgium","Romania",1
"Bulgaria","Romania",32
"Croatia","Romania",0
"Cyprus","Romania",0
"Czech","Romania",0
"Denmark","Romania",1
"Estonia","Romania",0
"Finland","Romania",0
"France","Romania",7
"Germany","Romania",9
"Greece","Romania",1
"Hungary","Romania",8
"Ireland","Romania",0
"Italy","Romania",15
"Latvia","Romania",0
"Lithuania","Romania",0
"Luxembourg","Romania",1
"Malta","Romania",0
"Netherlands","Romania",2
"Poland","Romania",0
"Portugal","Romania",1
"Romania","Romania",0
"Slovakia","Romania",2
"Slovenia","Romania",1
"Spain","Romania",4
"Sweden","Romania",1
"UK","Romania",2
"Austria","Slovakia",1
"Belgium","Slovakia",0
"Bulgaria","Slovakia",4
"Croatia","Slovakia",3
"Cyprus","Slovakia",0
"Czech","Slovakia",33
"Denmark","Slovakia",0
"Estonia","Slovakia",0
"Finland","Slovakia",0
"France","Slovakia",1
"Germany","Slovakia",2
"Greece","Slovakia",2
"Hungary","Slovakia",16
"Ireland","Slovakia",0
"Italy","Slovakia",2
"Latvia","Slovakia",0
"Lithuania","Slovakia",1
"Luxembourg","Slovakia",0
"Malta","Slovakia",0
"Netherlands","Slovakia",1
"Poland","Slovakia",4
"Portugal","Slovakia",0
"Romania","Slovakia",11
"Slovakia","Slovakia",0
"Slovenia","Slovakia",1
"Spain","Slovakia",0
"Sweden","Slovakia",0
"UK","Slovakia",3
"Austria","Slovenia",1
"Belgium","Slovenia",0
"Bulgaria","Slovenia",8
"Croatia","Slovenia",26
"Cyprus","Slovenia",0
"Czech","Slovenia",0
"Denmark","Slovenia",0
"Estonia","Slovenia",0
"Finland","Slovenia",0
"France","Slovenia",0
"Germany","Slovenia",1
"Greece","Slovenia",0
"Hungary","Slovenia",6
"Ireland","Slovenia",0
"Italy","Slovenia",5
"Latvia","Slovenia",0
"Lithuania","Slovenia",0
"Luxembourg","Slovenia",0
"Malta","Slovenia",0
"Netherlands","Slovenia",2
"Poland","Slovenia",4
"Portugal","Slovenia",0
"Romania","Slovenia",16
"Slovakia","Slovenia",4
"Slovenia","Slovenia",0
"Spain","Slovenia",0
"Sweden","Slovenia",0
"UK","Slovenia",0
"Austria","Spain",6
"Belgium","Spain",38
"Bulgaria","Spain",258
"Croatia","Spain",36
"Cyprus","Spain",0
"Czech","Spain",36
"Denmark","Spain",6
"Estonia","Spain",25
"Finland","Spain",1
"France","Spain",253
"Germany","Spain",103
"Greece","Spain",12
"Hungary","Spain",33
"Ireland","Spain",14
"Italy","Spain",240
"Latvia","Spain",31
"Lithuania","Spain",162
"Luxembourg","Spain",1
"Malta","Spain",2
"Netherlands","Spain",139
"Poland","Spain",140
"Portugal","Spain",425
"Romania","Spain",2052
"Slovakia","Spain",17
"Slovenia","Spain",11
"Spain","Spain",0
"Sweden","Spain",9
"UK","Spain",183
"Austria","Sweden",0
"Belgium","Sweden",10
"Bulgaria","Sweden",16
"Croatia","Sweden",0
"Cyprus","Sweden",0
"Czech","Sweden",0
"Denmark","Sweden",17
"Estonia","Sweden",9
"Finland","Sweden",86
"France","Sweden",0
"Germany","Sweden",0
"Greece","Sweden",0
"Hungary","Sweden",0
"Ireland","Sweden",0
"Italy","Sweden",8
"Latvia","Sweden",11
"Lithuania","Sweden",56
"Luxembourg","Sweden",0
"Malta","Sweden",0
"Netherlands","Sweden",24
"Poland","Sweden",78
"Portugal","Sweden",0
"Romania","Sweden",79
"Slovakia","Sweden",0
"Slovenia","Sweden",0
"Spain","Sweden",0
"Sweden","Sweden",0
"UK","Sweden",0
"Austria","UK",6
"Belgium","UK",30
"Bulgaria","UK",57
"Croatia","UK",8
"Cyprus","UK",17
"Czech","UK",93
"Denmark","UK",10
"Estonia","UK",21
"Finland","UK",0
"France","UK",80
"Germany","UK",61
"Greece","UK",30
"Hungary","UK",79
"Ireland","UK",771
"Italy","UK",88
"Latvia","UK",176
"Lithuania","UK",531
"Luxembourg","UK",0
"Malta","UK",7
"Netherlands","UK",143
"Poland","UK",1062
"Portugal","UK",236
"Romania","UK",630
"Slovakia","UK",119
"Slovenia","UK",6
"Spain","UK",70
"Sweden","UK",25
"UK","UK",0
