isfrom,goesto,count
"Bulgaria","Netherlands",30
"Croatia","Netherlands",5
"Czech Republic","Netherlands",3
"Denmark","Netherlands",0
"Estonia","Netherlands",1
"Finland","Netherlands",0
"France","Netherlands",38
"Germany","Netherlands",34
"Greece","Netherlands",2
"Hungary","Netherlands",41
"Ireland","Netherlands",7
"Italy","Netherlands",19
"Latvia","Netherlands",12
"Lithuania","Netherlands",38
"Luxembourg","Netherlands",0
"Malta","Netherlands",0
"Netherlands","Netherlands",0
"Poland","Netherlands",206
"Portugal","Netherlands",15
"Romania","Netherlands",153
"Slovakia","Netherlands",2
"Slovenia","Netherlands",2
"Spain","Netherlands",27
"Sweden","Netherlands",2
"UK","Netherlands",30
"Austria","Poland",1
"Belgium","Poland",1
"Bulgaria","Poland",38
"Croatia","Poland",3
"Czech Republic","Poland",6
"Denmark","Poland",0
"Estonia","Poland",4
"Finland","Poland",0
"France","Poland",4
"Germany","Poland",27
"Greece","Poland",2
"Hungary","Poland",1
"Ireland","Poland",0
"Italy","Poland",2
"Latvia","Poland",21
"Lithuania","Poland",25
"Luxembourg","Poland",0
"Malta","Poland",0
"Netherlands","Poland",2
"Poland","Poland",0
"Portugal","Poland",2
"Romania","Poland",51
"Slovakia","Poland",12
"Slovenia","Poland",1
"Spain","Poland",1
"Sweden","Poland",1
"UK","Poland",0
"Austria","Romania",4
"Belgium","Romania",1
"Bulgaria","Romania",32
"Croatia","Romania",0
"Czech Republic","Romania",0
"Denmark","Romania",1
"Estonia","Romania",0
"Finland","Romania",0
"France","Romania",7
"Germany","Romania",9
"Greece","Romania",1
"Hungary","Romania",8
"Ireland","Romania",0
"Italy","Romania",15
"Latvia","Romania",0
"Lithuania","Romania",0
"Luxembourg","Romania",1
"Malta","Romania",0
"Netherlands","Romania",2
"Poland","Romania",0
"Portugal","Romania",1
"Romania","Romania",0
"Slovakia","Romania",2
"Slovenia","Romania",1
"Spain","Romania",4
"Sweden","Romania",1
"UK","Romania",2
"Austria","Slovakia",1
"Belgium","Slovakia",0
"Bulgaria","Slovakia",4
"Croatia","Slovakia",3
"Czech Republic","Slovakia",33
"Denmark","Slovakia",0
"Estonia","Slovakia",0
"Finland","Slovakia",0
"France","Slovakia",1
"Germany","Slovakia",2
"Greece","Slovakia",2
"Hungary","Slovakia",16
"Ireland","Slovakia",0
"Italy","Slovakia",2
"Latvia","Slovakia",0
"Lithuania","Slovakia",1
"Luxembourg","Slovakia",0
"Malta","Slovakia",0
"Netherlands","Slovakia",1
"Poland","Slovakia",4
"Portugal","Slovakia",0
"Romania","Slovakia",11
"Slovakia","Slovakia",0
"Slovenia","Slovakia",1
"Spain","Slovakia",0
"Sweden","Slovakia",0
"UK","Slovakia",3
"Austria","Slovenia",1
"Belgium","Slovenia",0
"Bulgaria","Slovenia",8
"Croatia","Slovenia",26
"Czech Republic","Slovenia",0
"Denmark","Slovenia",0
"Estonia","Slovenia",0
"Finland","Slovenia",0
"France","Slovenia",0
"Germany","Slovenia",1
"Greece","Slovenia",0
"Hungary","Slovenia",6
"Ireland","Slovenia",0
"Italy","Slovenia",5
"Latvia","Slovenia",0
"Lithuania","Slovenia",0
"Luxembourg","Slovenia",0
"Malta","Slovenia",0
"Netherlands","Slovenia",2
"Poland","Slovenia",4
"Portugal","Slovenia",0
"Romania","Slovenia",16
"Slovakia","Slovenia",4
"Slovenia","Slovenia",0
"Spain","Slovenia",0
"Sweden","Slovenia",0
"UK","Slovenia",0
"Austria","Spain",6
"Belgium","Spain",38
"Bulgaria","Spain",258
"Croatia","Spain",36
"Czech Republic","Spain",36
"Denmark","Spain",6
"Estonia","Spain",25
"Finland","Spain",1
"France","Spain",253
"Germany","Spain",103
"Greece","Spain",12
"Hungary","Spain",33
"Ireland","Spain",14
"Italy","Spain",240
"Latvia","Spain",31
"Lithuania","Spain",162
"Luxembourg","Spain",1
"Malta","Spain",2
"Netherlands","Spain",139
"Poland","Spain",140
"Portugal","Spain",425
"Romania","Spain",2052
"Slovakia","Spain",17
"Slovenia","Spain",11
"Spain","Spain",0
"Sweden","Spain",9
"UK","Spain",183
"Austria","Sweden",0
"Belgium","Sweden",10
"Bulgaria","Sweden",16
"Croatia","Sweden",0
"Czech Republic","Sweden",0
"Denmark","Sweden",17
"Estonia","Sweden",9
"Finland","Sweden",86
"France","Sweden",0
"Germany","Sweden",0
"Greece","Sweden",0
"Hungary","Sweden",0
"Ireland","Sweden",0
"Italy","Sweden",8
"Latvia","Sweden",11
"Lithuania","Sweden",56
"Luxembourg","Sweden",0
"Malta","Sweden",0
"Netherlands","Sweden",24
"Poland","Sweden",78
"Portugal","Sweden",0
"Romania","Sweden",79
"Slovakia","Sweden",0
"Slovenia","Sweden",0
"Spain","Sweden",0
"Sweden","Sweden",0
"UK","Sweden",0
